19 juil. 2019	5580,99	5598,00	5534,25	5552,34	5552,34	65514600
18 juil. 2019	5538,03	5585,81	5533,47	5550,55	5550,55	63265600
17 juil. 2019	5602,25	5621,21	5567,85	5571,71	5571,71	63754200
16 juil. 2019	5574,18	5626,79	5573,36	5614,38	5614,38	66028700
15 juil. 2019	5581,11	5606,48	5550,86	5578,21	5578,21	53770000
12 juil. 2019	5559,16	5587,84	5552,58	5572,86	5572,86	60414500
11 juil. 2019	5589,68	5592,30	5548,95	5551,95	5551,95	57476600
10 juil. 2019	5562,44	5606,18	5557,66	5567,59	5567,59	60776200
09 juil. 2019	5578,34	5582,77	5544,62	5572,10	5572,10	62346600
08 juil. 2019	5580,26	5598,97	5572,77	5589,19	5589,19	54984500
05 juil. 2019	5613,92	5616,63	5573,35	5593,72	5593,72	63896500
04 juil. 2019	5622,80	5629,79	5613,03	5620,73	5620,73	46168300
03 juil. 2019	5579,24	5618,81	5579,04	5618,81	5618,81	63296400
02 juil. 2019	5578,38	5582,91	5556,76	5576,82	5576,82	67572900
01 juil. 2019	5584,13	5611,28	5567,91	5567,91	5567,91	70651600
28 juin 2019	5491,17	5545,06	5486,28	5538,97	5538,97	77991000
27 juin 2019	5508,38	5511,22	5465,62	5493,61	5493,61	68458200
26 juin 2019	5504,67	5531,45	5497,22	5500,72	5500,72	72145100
25 juin 2019	5499,82	5523,57	5499,65	5514,57	5514,57	67601900
24 juin 2019	5534,35	5547,11	5514,14	5521,71	5521,71	69081000
21 juin 2019	5534,43	5582,24	5518,39	5528,33	5528,33	180857100
20 juin 2019	5551,03	5564,13	5535,57	5535,57	5535,57	91520000
19 juin 2019	5513,32	5521,81	5496,54	5518,45	5518,45	94042300
18 juin 2019	5386,38	5516,06	5376,12	5509,73	5509,73	112114700
17 juin 2019	5370,76	5408,75	5368,07	5390,95	5390,95	60116200
14 juin 2019	5367,10	5369,38	5342,15	5367,62	5367,62	65531100
13 juin 2019	5361,60	5392,51	5353,11	5375,63	5375,63	69304200
12 juin 2019	5379,15	5394,85	5358,81	5374,92	5374,92	71298300
11 juin 2019	5382,88	5431,54	5381,31	5408,45	5408,45	82532500
10 juin 2019	5382,29	5397,35	5369,82	5382,50	5382,50	44478400
07 juin 2019	5299,71	5389,95	5299,71	5364,05	5364,05	85504600
06 juin 2019	5293,72	5332,69	5264,62	5278,43	5278,43	97740400
05 juin 2019	5271,26	5306,83	5265,60	5292,00	5292,00	82999200
04 juin 2019	5204,22	5278,91	5191,61	5268,26	5268,26	100999600
03 juin 2019	5171,61	5241,46	5152,30	5241,46	5241,46	82486400
31 mai 2019	5198,76	5208,07	5160,91	5207,63	5207,63	92675600
30 mai 2019	5241,95	5258,05	5229,74	5248,91	5248,91	53926800
29 mai 2019	5249,27	5252,52	5203,81	5222,12	5222,12	96891600
28 mai 2019	5343,30	5351,09	5300,80	5312,69	5312,69	123522700
27 mai 2019	5341,39	5364,22	5323,17	5336,19	5336,19	55120600
24 mai 2019	5307,80	5337,66	5302,52	5316,51	5316,51	86386600
23 mai 2019	5335,12	5340,38	5272,78	5281,37	5281,37	95282100
22 mai 2019	5381,69	5399,72	5345,28	5378,98	5378,98	69422500
21 mai 2019	5373,01	5394,91	5350,13	5385,46	5385,46	79280900
20 mai 2019	5425,30	5438,60	5333,31	5358,59	5358,59	88787600
17 mai 2019	5428,17	5450,65	5401,66	5438,23	5438,23	96770400
16 mai 2019	5365,37	5448,11	5346,54	5448,11	5448,11	89653900
15 mai 2019	5348,34	5374,26	5297,30	5374,26	5374,26	103541000
14 mai 2019	5292,08	5341,35	5288,92	5341,35	5341,35	86384000
13 mai 2019	5332,30	5334,06	5247,66	5262,57	5262,57	87610900
10 mai 2019	5353,50	5372,25	5312,01	5327,44	5327,44	82554800
09 mai 2019	5358,10	5363,77	5307,06	5313,16	5313,16	96336000
08 mai 2019	5388,72	5426,32	5378,18	5417,59	5417,59	76182500
07 mai 2019	5478,55	5490,33	5387,99	5395,75	5395,75	93789000
06 mai 2019	5450,83	5489,54	5422,59	5483,52	5483,52	77234200
03 mai 2019	5537,46	5563,12	5535,58	5548,84	5548,84	67538000
02 mai 2019	5568,20	5573,16	5537,99	5538,86	5538,86	92443600
30 avr. 2019	5570,43	5586,41	5553,10	5586,41	5586,41	92198400
29 avr. 2019	5567,09	5593,60	5547,12	5580,98	5580,98	67208000
26 avr. 2019	5570,07	5575,25	5546,82	5569,36	5569,36	75422900
25 avr. 2019	5569,21	5571,86	5538,30	5557,67	5557,67	75881200
24 avr. 2019	5581,16	5597,60	5557,21	5576,06	5576,06	84201400
23 avr. 2019	5577,52	5596,21	5564,94	5591,69	5591,69	87060900
18 avr. 2019	5548,66	5601,38	5527,94	5580,38	5580,38	105619800
17 avr. 2019	5528,01	5569,28	5522,61	5563,09	5563,09	86734600
16 avr. 2019	5510,72	5532,31	5503,35	5528,67	5528,67	76025200
15 avr. 2019	5501,51	5518,37	5497,53	5508,73	5508,73	67400500
12 avr. 2019	5478,95	5510,99	5474,36	5502,70	5502,70	81746200
